Date,Return
2021-04-30,-1.92922558075759
2021-05-03,0.45990734576509446
2021-05-04,1.934976817987587
2021-05-05,0.11607662359622872
2021-05-06,-1.2696266860562275
2021-05-07,0.2786538431364594
2021-05-10,0.058565155407444516
2021-05-11,0.3360856528009074
2021-05-12,1.1170058839081796
2021-05-13,-3.3294855119717734
2021-05-14,2.4456139315296967
2021-05-17,1.0856298272943457
2021-05-18,-1.0856298272943363
2021-05-19,-3.028967616339089
2021-05-20,-2.3526925630822855
2021-05-21,2.0221137496323323
2021-05-24,2.9950348356945153
2021-05-25,0.27714991119410104
2021-05-26,0.3199537342626879
2021-05-27,0.8530377759320991
2021-05-28,0.24444616385273618
2021-05-31,-0.4462044107050011
2021-06-01,1.3326843366449836
2021-06-02,1.5537035708990097
2021-06-03,-0.05607738826330555
2021-06-04,0.8100602955567995
2021-06-07,-0.557959321701978
2021-06-08,1.0159436070551315
2021-06-10,0.41453700373385766
2021-06-11,0.23414376098937692
2021-06-14,0.23359680838737065
2021-06-15,1.5390157357041685
2021-06-16,0.5391575265790531
2021-06-17,-1.776679269344408
2021-06-18,0.5866719876190302
2021-06-21,1.8732439137177606
2021-06-22,-0.12023246388602613
2021-06-23,0.5066677505621835
2021-06-24,0.49087992433734173
2021-06-25,0.8171918417149217
2021-06-28,-1.9886642376936148
2021-06-29,0.10706639138402449
2021-06-30,0.4936963793707126
2021-07-01,0.9405911565697154
2021-07-02,0.4341826437930472
2021-07-05,1.2913503652831468
2021-07-06,-3.467945914392576
2021-07-07,-1.4869157430083246
2021-07-08,0.9352829953639994
2021-07-09,1.9109287301589357
2021-07-12,-0.517551417348401
2021-07-13,1.7540838788510082
2021-07-14,-2.2877030746412395
2021-07-15,-1.740582295517609
2021-07-16,0.16319873063216286
2021-07-19,-6.992510950820391
2021-07-20,1.0582109330536789
2021-07-21,4.068932530191493
2021-07-22,2.13677490075198
2021-07-23,0.41923112317657807
2021-07-26,0.538359308347268
2021-07-27,-0.026849241670210744
2021-07-28,0.34847910885261607
2021-07-29,1.7375594647964117
2021-07-30,0.36750271050771477
2021-08-02,-4.611459041625735
2021-08-03,-0.6607043993392228
2021-08-04,-2.8435279507290256
2021-08-05,1.284693323609825
2021-08-06,-0.8310492227010037
2021-08-09,-2.3759526127354555
2021-08-10,2.2768936645658284
2021-08-11,1.1402953147412809
2021-08-12,-0.1821366528031258
2021-08-13,-1.0148078632831408
2021-08-16,-1.5417864294986228
2021-08-17,-0.6929434397010398
2021-08-18,-1.1656841888051919
2021-08-19,-2.643456566807793
2021-08-20,-1.9297111749838811
2021-08-23,5.332406313726517
2021-08-24,3.290711799642892
2021-08-25,1.6748472449431908
2021-08-26,-1.6467020153737855
2021-08-27,2.2676077700670114
2021-08-30,0.9718781583216197
2021-08-31,-0.5737720659149053
2021-09-01,-1.9367046055447188
2021-09-02,1.9914916223924697
2021-09-03,-0.5767662239862997
2021-09-06,-0.5385637542843739
2021-09-07,-0.7365747984530896
2021-09-08,1.2613653965969565
2021-09-09,-1.5967017454873844
2021-09-10,2.036504543458589
2021-09-13,0.80585015755341
2021-09-14,0.1223574348834117
2021-09-15,2.4957688801333746
2021-09-16,0.27790661702660285
2021-09-17,-0.4370578442535175
2021-09-20,-1.9027774930466357
2021-09-21,0.5934735519814527
2021-09-22,2.431205763167505
2021-09-23,1.3816695292936587
2021-09-24,1.0815091896728903
2021-09-27,1.8272301294460211
2021-09-28,-0.5547864437717979
2021-09-29,-0.5705968692414787
2021-09-30,-0.15271064306508172
2021-10-01,0.9632520613472284
2021-10-04,2.466800053784809
2021-10-05,1.5871411173671826
2021-10-06,-1.808898014945335
2021-10-07,1.0672983606039383
2021-10-08,0.5354765137659867
2021-10-11,1.5177357105334426
2021-10-12,-0.27533386640338353
2021-10-13,-0.2881154454033518
2021-10-14,0.980986452854799
2021-10-15,1.0186040930865101
2021-10-18,-0.6265166187628566
2021-10-19,0.8854316745486349
2021-10-20,0.8660089231342082
2021-10-21,-1.4199616626969076
2021-10-22,1.0814728656280779
2021-10-25,0.5363818830114857
2021-10-26,0.47566653872048464
2021-10-27,-2.128984376566753
2021-10-28,-0.307874725129044
2021-10-29,0.07113219031404366
2021-11-01,0.3903251747267032
2021-11-02,0.011804284969146489
2021-11-03,-3.2754412685064738
2021-11-04,-1.7843333184778123
2021-11-05,2.694920560995728
2021-11-08,0.8304795880717867
2021-11-09,1.6051709010507824
2021-11-10,-2.5565841113107974
2021-11-11,0.27792900495679757
2021-11-12,-0.8482842917854609
2021-11-15,-0.14614544069965868
2021-11-16,0.4620630789036406
2021-11-17,-2.6428924396998883
2021-11-18,1.1887212784046504
2021-11-19,-2.9353259605185626
2021-11-22,1.0215108689171117
2021-11-23,3.22230211883832
2021-11-24,-0.07292173390713623
2021-11-25,-0.03648081757489088
2021-11-26,-12.2782131600509
2021-11-29,0.985229644301164
2021-11-30,-3.98636212994962
2021-12-01,-2.438445545613178
2021-12-02,1.1549139485420614
2021-12-03,0.3009676223828205
2021-12-06,4.477524624395022
2021-12-07,3.1782906815396013
2021-12-08,0.5024471762986672
2021-12-09,-1.8637387169712236
2021-12-10,0.9761393280507186
2021-12-13,-1.016459199573354
2021-12-14,-0.9318725007959066
2021-12-15,0.24393561357481264
2021-12-16,1.53125893227021
2021-12-17,-2.0197266606309627
2021-12-20,-2.758034718217295
2021-12-21,3.381765553904941
2021-12-22,1.7552537457723036
2021-12-23,2.050814612257385
2021-12-24,-0.9281719030253486
2021-12-27,3.17979484808095
2021-12-28,0.4316370799540314
2021-12-29,0.36669447424496704
2021-12-30,0.11352886744444819
2021-12-31,-1.9605974923993856
2022-01-03,1.5310327130902226
2022-01-04,1.2831978815378242
2022-01-05,0.9950330853168092
2022-01-06,1.4620323081036708
2022-01-07,-0.2931478830723445
2022-01-10,-1.0822882669631984
2022-01-11,3.463497047006815
2022-01-12,1.1283450076386998
2022-01-13,-0.2364905914780629
2022-01-14,1.8648285671048246
2022-01-17,0.4868445920499228
2022-01-18,1.183989921678685
2022-01-19,1.0571283441505661
2022-01-20,-0.06786562866516954
2022-01-21,-0.5559667126040005
2022-01-24,-1.8604119488066537
2022-01-25,2.2125049924258193
2022-01-26,1.975816407836931
2022-01-27,-0.6915811167142242
2022-01-28,0.7693632196412692
2022-01-31,1.3021592071681627
2022-02-01,-2.2732031674398927
2022-02-02,0.34708650418364284
2022-02-03,1.8164194166262513
2022-02-04,2.3430945013005067
2022-02-07,-0.6237920851030782
2022-02-08,-2.082159485942168
2022-02-09,0.8446274092200193
2022-02-10,-0.15303894547923697
2022-02-11,3.260983055158479
2022-02-14,2.1371020761563133
2022-02-15,-3.373001037669314
2022-02-16,1.6269166327685551
2022-02-17,-1.9598028462101216
2022-02-18,0.6112291829973765
2022-02-21,1.9584598859376405
2022-02-22,1.5086380912740986
2022-02-24,2.286747255130109
2022-02-25,-1.1674666888455645
2022-02-28,3.076856430576227
2022-03-01,3.8653093009240926
2022-03-02,7.309356268787264
2022-03-03,-2.2114693262537495
2022-03-04,6.696292915071436
2022-03-07,4.227382301282091
2022-03-08,3.798378507473728
2022-03-09,-14.1083333859539
2022-03-10,-1.6419836405381787
2022-03-11,3.009236072968126
2022-03-14,-5.256937414507495
2022-03-15,-6.762403728607243
2022-03-16,-1.9098241263525766
2022-03-17,8.428713638905187
2022-03-18,1.2024192966801812
2022-03-21,6.882608281707515
2022-03-22,-0.12115968595957183
2022-03-23,5.1639614737332264
2022-03-24,-2.136140735227821
2022-03-25,1.3518229891252418
